"","type","phi_mu","phi_er","gamma_mu","gamma_re","p_mu","p_er"
"1","TRUE",1.73460105538811,0.2,-0.847297860387204,0.05,-0.847297860387204,0.2
"2","EST",2.37714192202336,0.439933823245311,-0.771109878014189,0.391547717928067,-0.827183962106781,0.169817368175922
"3","EST",1.69214568987004,0.36258291609325,-0.606530061674037,0.390878124050092,-0.814796521795729,0.101166075895692
"4","EST",1.58738561737691,0.377418523282093,-0.54621287604685,0.383688990708395,-0.900178853631438,0.206782315672575
"5","EST",2.24811625279819,0.435672739771036,-0.65437689718085,0.366727816835524,-0.812811918599284,0.126953133179631
"6","EST",1.54449861719225,0.405713561179352,-0.87019940754116,0.35057254369033,-0.803924460747121,0.315280417552519
"7","EST",2.06522412894818,0.472671878568551,-1.12942989842433,0.325744100001034,-0.793579129669256,0.142515230253771
"8","EST",1.93173932236439,0.395042554176391,-0.618496795194837,0.312476397380078,-0.877248871574493,0.23891425659269
"9","EST",1.82156602006764,0.522553418142788,-0.88543257118594,0.350733543924188,-0.802416701452212,0.20547224077515
"10","EST",1.43324487326159,0.358419149003994,-0.772494730543426,0.472044306903002,-0.901816239542016,0.221090560566483
"11","EST",1.11017725981034,0.382475759353458,-0.359182789540424,0.529002669618749,-0.995932332792733,0.127500623424776
"12","EST",1.66556678651158,0.448310971904365,-0.796781271682566,0.323722929047578,-0.806217470908228,0.15946373784445
"13","EST",2.53994362291975,0.505979613372697,-0.753470007819188,0.497223300314868,-0.821651805983311,0.237105334119938
"14","EST",2.18767251909506,0.519813551218719,-0.689947738133646,0.398813205691675,-0.831081874549906,0.267349229832136
"15","EST",2.18179083807429,0.418859096859266,-0.609648316046796,0.312711798423882,-0.888135131758277,0.139334218289089
"16","EST",1.91633364538091,0.416125906878701,-0.327761539880162,0.323392963621877,-0.761137978066792,0.229586571728605
"17","EST",1.43317879019128,0.437100178460039,-0.856368533335969,0.538680473563221,-0.83571878597438,0.103149549231687
"18","EST",1.67763714827029,0.426832436537801,-0.481294154025989,0.559482800891434,-0.754800907150399,0.199496883402419
"19","EST",2.30320458292767,0.491077562626307,-0.265333608732494,0.319418904211908,-0.865034209602167,0.268243379224887
"20","EST",2.09070046275888,0.398429190790475,-0.680551050026179,0.287156990159888,-0.791004418760937,0.298281741983541
"21","EST",1.84067981214432,0.379320696274103,-1.14076791407203,0.462694175569013,-0.808032325133364,0.0906536023696527
